CODIGO;DPTO;Municipio;Población menor de 1 año (1);VOP;% VOP;DPT;% DPT;BCG;%BCG;Hepatitis B;% Hepatitis B;Hib;%Hib;Población de 1 año (1);Triple Viral;%Triple Viral
5674;Antioquia;San Vicente;321;345.0;107.4766355140187;344.0;107.1651090342679;211.0;65.73208722741433;328.0;102.18068535825545;344.0;107.1651090342679;326;280.0;85.88957055214725
5679;Antioquia;Santa Bárbara;446;467.0;104.7085201793722;467.0;104.7085201793722;252.0;56.502242152466366;467.0;104.7085201793722;467.0;104.7085201793722;451;398.0;88.24833702882484
5686;Antioquia;Santa Rosa de Osos;613;646.0;105.38336052202284;646.0;105.38336052202284;710.0;115.82381729200652;646.0;105.38336052202284;646.0;105.38336052202284;620;659.0;106.29032258064517
5690;Antioquia;Santo Domingo;233;163.0;69.95708154506438;164.0;70.3862660944206;111.0;47.63948497854077;162.0;69.52789699570815;164.0;70.3862660944206;234;183.0;78.2051282051282
5697;Antioquia;El Santuario;462;522.0;112.98701298701299;523.0;113.2034632034632;252.0;54.54545454545454;523.0;113.2034632034632;523.0;113.2034632034632;465;570.0;122.58064516129032
5736;Antioquia;Segovia;841;870.0;103.44827586206897;870.0;103.44827586206897;447.0;53.15101070154577;870.0;103.44827586206897;870.0;103.44827586206897;842;850.0;100.95011876484561
5756;Antioquia;Sonsón;666;612.0;91.8918918918919;622.0;93.3933933933934;397.0;59.60960960960961;622.0;93.3933933933934;622.0;93.3933933933934;678;634.0;93.5103244837758
5761;Antioquia;Sopetrán;258;196.0;75.96899224806202;198.0;76.74418604651163;98.0;37.98449612403101;196.0;75.96899224806202;198.0;76.74418604651163;260;202.0;77.6923076923077
5789;Antioquia;Támesis;260;238.0;91.53846153846153;238.0;91.53846153846153;143.0;55.00000000000001;238.0;91.53846153846153;238.0;91.53846153846153;261;243.0;93.10344827586206
5790;Antioquia;Tarazá;1050;763.0;72.66666666666667;803.0;76.47619047619048;765.0;72.85714285714285;806.0;76.76190476190476;803.0;76.47619047619048;1029;988.0;96.01554907677357
5792;Antioquia;Tarso;158;93.0;58.86075949367089;93.0;58.86075949367089;55.0;34.810126582278485;93.0;58.86075949367089;93.0;58.86075949367089;157;76.0;48.40764331210191
5809;Antioquia;Titiribí;218;159.0;72.93577981651376;157.0;72.01834862385321;76.0;34.862385321100916;157.0;72.01834862385321;157.0;72.01834862385321;221;126.0;57.01357466063348
5819;Antioquia;Toledo;153;127.0;83.00653594771242;129.0;84.31372549019608;77.0;50.326797385620914;129.0;84.31372549019608;129.0;84.31372549019608;150;98.0;65.33333333333333
5837;Antioquia;Turbo;3381;3535.0;104.55486542443064;3567.0;105.50133096716947;3003.0;88.81987577639751;3568.0;105.53090801538008;3567.0;105.50133096716947;3343;3755.0;112.32425964702364
5842;Antioquia;Uramita;185;137.0;74.05405405405405;136.0;73.51351351351352;90.0;48.64864864864865;135.0;72.97297297297297;136.0;73.51351351351352;183;150.0;81.9672131147541
5847;Antioquia;Urrao;897;525.0;58.52842809364549;526.0;58.63991081382386;455.0;50.72463768115942;526.0;58.63991081382386;526.0;58.63991081382386;894;654.0;73.15436241610739
5854;Antioquia;Valdivia;476;443.0;93.0672268907563;467.0;98.10924369747899;410.0;86.1344537815126;467.0;98.10924369747899;467.0;98.10924369747899;467;481.0;102.99785867237688
5856;Antioquia;Valparaíso;125;86.0;68.8;86.0;68.8;71.0;56.8;86.0;68.8;86.0;68.8;127;89.0;70.07874015748031
5858;Antioquia;Vegachí;260;231.0;88.84615384615384;234.0;90.0;167.0;64.23076923076924;225.0;86.53846153846155;234.0;90.0;260;253.0;97.3076923076923
5861;Antioquia;Venecia;221;269.0;121.71945701357465;269.0;121.71945701357465;131.0;59.276018099547514;265.0;119.90950226244344;269.0;121.71945701357465;223;261.0;117.04035874439462
5873;Antioquia;Vigía del Fuerte;117;44.0;37.60683760683761;44.0;37.60683760683761;132.0;112.82051282051282;44.0;37.60683760683761;44.0;37.60683760683761;115;147.0;127.82608695652173
5885;Antioquia;Yalí;200;103.0;51.5;102.0;51.0;95.0;47.5;102.0;51.0;102.0;51.0;198;103.0;52.02020202020202
5887;Antioquia;Yarumal;914;888.0;97.15536105032822;888.0;97.15536105032822;1142.0;124.945295404814;888.0;97.15536105032822;888.0;97.15536105032822;921;954.0;103.58306188925081
5890;Antioquia;Yolombó;411;356.0;86.61800486618006;356.0;86.61800486618006;732.0;178.1021897810219;356.0;86.61800486618006;356.0;86.61800486618006;413;368.0;89.10411622276028
5893;Antioquia;Yondó;341;291.0;85.33724340175954;293.0;85.92375366568915;250.0;73.31378299120234;293.0;85.92375366568915;293.0;85.92375366568915;340;327.0;96.17647058823529
5895;Antioquia;Zaragoza;698;664.0;95.12893982808023;664.0;95.12893982808023;510.0;73.06590257879655;664.0;95.12893982808023;664.0;95.12893982808023;694;692.0;99.71181556195965
8001;Atlántico;Barranquilla;20991;26623.0;126.83054642465818;26622.0;126.82578247820496;31809.0;151.5363727311705;26660.0;127.00681244342813;26622.0;126.82578247820496;21302;25881.0;121.49563421274998
8078;Atlántico;Baranoa;1050;1086.0;103.42857142857143;1086.0;103.42857142857143;1115.0;106.19047619047619;1112.0;105.9047619047619;1086.0;103.42857142857143;1059;1074.0;101.41643059490085
8137;Atlántico;Campo de la Cruz;392;362.0;92.3469387755102;359.0;91.58163265306123;250.0;63.775510204081634;378.0;96.42857142857143;359.0;91.58163265306123;405;369.0;91.11111111111111
8141;Atlántico;Candelaria;255;363.0;142.35294117647058;363.0;142.35294117647058;182.0;71.37254901960785;404.0;158.4313725490196;363.0;142.35294117647058;259;323.0;124.7104247104247
8296;Atlántico;Galapa;756;563.0;74.47089947089947;565.0;74.73544973544973;403.0;53.3068783068783;538.0;71.16402116402116;565.0;74.73544973544973;768;596.0;77.60416666666666
8372;Atlántico;Juan de Acosta;300;306.0;102.0;306.0;102.0;221.0;73.66666666666667;458.0;152.66666666666666;306.0;102.0;302;271.0;89.73509933774835
8421;Atlántico;Luruaco;549;521.0;94.89981785063752;521.0;94.89981785063752;317.0;57.74134790528234;461.0;83.97085610200364;521.0;94.89981785063752;548;522.0;95.25547445255475
8433;Atlántico;Malambo;2331;2176.0;93.35049335049335;2176.0;93.35049335049335;1442.0;61.86186186186187;1999.0;85.75718575718577;2176.0;93.35049335049335;2340;2265.0;96.7948717948718
8436;Atlántico;Manatí;283;259.0;91.51943462897526;259.0;91.51943462897526;166.0;58.657243816254415;259.0;91.51943462897526;259.0;91.51943462897526;280;299.0;106.78571428571428
8520;Atlántico;Palmar de Varela;457;496.0;108.53391684901533;496.0;108.53391684901533;495.0;108.31509846827134;496.0;108.53391684901533;496.0;108.53391684901533;462;523.0;113.2034632034632
8549;Atlántico;Piojó;114;65.0;57.01754385964912;65.0;57.01754385964912;32.0;28.07017543859649;65.0;57.01754385964912;65.0;57.01754385964912;114;33.0;28.947368421052634
8558;Atlántico;Polonuevo;283;290.0;102.47349823321554;290.0;102.47349823321554;359.0;126.85512367491165;290.0;102.47349823321554;290.0;102.47349823321554;285;300.0;105.26315789473684
8560;Atlántico;Ponedera;452;385.0;85.17699115044249;385.0;85.17699115044249;271.0;59.95575221238938;385.0;85.17699115044249;385.0;85.17699115044249;454;362.0;79.73568281938326
8573;Atlántico;Puerto Colombia;486;753.0;154.93827160493828;753.0;154.93827160493828;560.0;115.22633744855968;753.0;154.93827160493828;753.0;154.93827160493828;492;718.0;145.9349593495935
8606;Atlántico;Repelón;548;555.0;101.27737226277371;555.0;101.27737226277371;322.0;58.75912408759124;555.0;101.27737226277371;555.0;101.27737226277371;545;599.0;109.90825688073393
8634;Atlántico;Sabanagrande;526;504.0;95.81749049429658;504.0;95.81749049429658;335.0;63.68821292775665;504.0;95.81749049429658;504.0;95.81749049429658;530;515.0;97.16981132075472
8638;Atlántico;Sabanalarga;1976;1558.0;78.84615384615384;1558.0;78.84615384615384;2157.0;109.15991902834008;1558.0;78.84615384615384;1558.0;78.84615384615384;1991;1588.0;79.75891511803114
